-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/04/1995 through 05/30/2020 
Location: Latitude  27.6895   Longitude 85.3614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,TS,T2M
27.68951,85.36141,1995,06,11,   27.75,    8.87,   24.49,   23.71
27.68951,85.36141,1995,06,12,   15.37,    8.42,   24.05,   22.83
27.68951,85.36141,1995,06,13,    9.81,    9.84,   24.56,   22.86
27.68951,85.36141,1995,06,14,    0.05,   11.15,   26.03,   24.06
27.68951,85.36141,1995,06,15,    0.06,   10.90,   27.00,   25.18
27.68951,85.36141,1995,06,16,    4.71,   12.44,   26.96,   25.31
27.68951,85.36141,1995,06,17,   12.93,   10.69,   24.56,   23.37
27.68951,85.36141,1995,06,18,   10.47,   10.38,   24.43,   22.92
27.68951,85.36141,1995,06,19,   10.68,    6.44,   21.89,   20.78
27.68951,85.36141,1995,06,20,    3.02,    8.49,   23.12,   21.61
27.68951,85.36141,1995,06,21,    1.49,   10.42,   24.95,   22.59
27.68951,85.36141,1995,06,22,    2.31,   10.13,   24.34,   22.19
27.68951,85.36141,1995,06,23,    2.14,    7.75,   22.71,   20.93
27.68951,85.36141,1995,06,24,   11.86,    6.24,   21.24,   20.25
27.68951,85.36141,1995,06,25,    8.64,    7.07,   22.07,   21.20
27.68951,85.36141,1995,06,26,    0.34,    8.84,   24.62,   22.76
27.68951,85.36141,1995,06,27,    0.21,    9.41,   25.35,   23.37
27.68951,85.36141,1995,06,28,    0.08,    9.26,   25.72,   23.65
27.68951,85.36141,1995,06,29,    0.01,    8.51,   25.45,   23.54
27.68951,85.36141,1995,06,30,    0.20,    6.63,   24.29,   23.03
27.68951,85.36141,1995,07,01,    3.08,    9.36,   25.66,   23.69
27.68951,85.36141,1995,07,02,    9.07,    6.07,   23.16,   21.89
27.68951,85.36141,1995,07,03,    7.83,    7.51,   23.45,   21.85
27.68951,85.36141,1995,07,04,    3.40,    6.92,   23.19,   21.88
27.68951,85.36141,1995,07,05,    6.02,    8.39,   24.05,   22.40
27.68951,85.36141,1995,07,06,    8.84,    6.43,   22.47,   21.43
27.68951,85.36141,1995,07,07,    3.86,    5.90,   21.59,   20.69
27.68951,85.36141,1995,07,08,    5.05,    5.84,   21.68,   20.75
27.68951,85.36141,1995,07,09,    6.63,    5.81,   21.92,   21.03
27.68951,85.36141,1995,07,10,   14.49,    5.73,   21.37,   20.64
27.68951,85.36141,1995,07,11,   12.05,    6.21,   21.68,   20.51
27.68951,85.36141,1995,07,12,    6.74,    5.71,   21.80,   20.78
27.68951,85.36141,1995,07,13,    3.98,    6.20,   22.32,   21.26
27.68951,85.36141,1995,07,14,    3.02,    7.09,   22.87,   21.74
27.68951,85.36141,1995,07,15,    1.32,    5.13,   21.99,   21.25
27.68951,85.36141,1995,07,16,    0.26,    8.43,   23.44,   21.91
27.68951,85.36141,1995,07,17,    2.91,    6.61,   22.28,   21.46
27.68951,85.36141,1995,07,18,    8.19,    5.57,   22.07,   21.41
27.68951,85.36141,1995,07,19,    1.87,    5.88,   21.79,   21.21
27.68951,85.36141,1995,07,20,    2.87,    8.60,   22.65,   21.60
27.68951,85.36141,1995,07,21,    1.36,    6.79,   21.85,   21.22
27.68951,85.36141,1995,07,22,    0.40,    6.79,   22.23,   21.17
27.68951,85.36141,1995,07,23,    0.20,    9.14,   23.17,   21.66
27.68951,85.36141,1995,07,24,    0.71,    8.93,   23.59,   22.15
27.68951,85.36141,1995,07,25,    0.02,    8.38,   23.86,   22.27
27.68951,85.36141,1995,07,26,    0.03,    7.31,   23.30,   22.02
27.68951,85.36141,1995,07,27,    0.55,    6.90,   22.45,   21.44
27.68951,85.36141,1995,07,28,    3.33,    8.36,   23.48,   21.98
27.68951,85.36141,1995,07,29,    9.55,    8.32,   23.11,   21.67
27.68951,85.36141,1995,07,30,   10.23,    6.95,   22.83,   21.79
27.68951,85.36141,1995,07,31,   20.99,    4.76,   20.75,   20.18
27.68951,85.36141,1995,08,01,   31.22,    6.48,   20.03,   19.71
27.68951,85.36141,1995,08,02,   10.35,    6.36,   21.27,   20.76
27.68951,85.36141,1995,08,03,    4.20,    6.80,   21.65,   20.98
27.68951,85.36141,1995,08,04,    1.98,    6.31,   21.50,   21.13
27.68951,85.36141,1995,08,05,    2.29,    7.91,   22.35,   21.53
27.68951,85.36141,1995,08,06,    2.73,    8.25,   22.79,   21.66
27.68951,85.36141,1995,08,07,   16.52,    6.36,   22.39,   21.56
27.68951,85.36141,1995,08,08,   11.50,    4.87,   22.00,   21.40
27.68951,85.36141,1995,08,09,    1.14,    7.00,   21.90,   21.33
27.68951,85.36141,1995,08,10,    1.83,    6.62,   21.85,   21.20
27.68951,85.36141,1995,08,11,    5.88,    5.69,   21.80,   20.99
27.68951,85.36141,1995,08,12,    8.21,    5.27,   20.52,   20.04
